[2022-04-08 20:10:48] [info]  [ 2480] Apache Commons Daemon procrun (1.3.0.0 64-bit) started.
[2022-04-08 20:10:49] [info]  [ 2480] Installing service 'Tomcat8' name 'Apache Tomcat 8.5 Tomcat8'.
[2022-04-08 20:10:49] [info]  [ 2480] Service 'Tomcat8' installed.
[2022-04-08 20:10:49] [info]  [ 2480] Apache Commons Daemon procrun finished.
[2022-04-08 20:11:45] [info]  [ 1156] Apache Commons Daemon procrun (1.3.0.0 64-bit) started.
[2022-04-08 20:11:45] [info]  [ 1156] Debugging 'tomcat8' service...
[2022-04-08 20:11:45] [info]  [ 1156] Starting service...
[2022-04-08 20:11:46] [info]  [ 1156] Service started in 1311 milliseconds.
[2022-04-08 20:18:11] [info]  [ 7880] Console CTRL+C event signaled.
[2022-04-08 20:18:11] [info]  [ 7880] Stopping service...
[2022-04-08 20:18:12] [info]  [ 7880] Service stop thread completed.
[2022-04-08 20:18:12] [info]  [ 1020] Console CTRL+C event signaled.
[2022-04-08 20:18:12] [info]  [ 1020] Stopping service...
[2022-04-08 20:18:12] [info]  [ 1156] Debug service finished with exit code 0.
[2022-04-08 20:18:12] [info]  [ 1156] Apache Commons Daemon procrun finished.
